Year, EMISSIONS(PgC/YR),CUMULATIVE_EMISSIONS
2011,,515
2012,10.46,525.46
2013,10.71,536.18
2014,10.96,547.13
2015,11.21,558.34
2016,11.45,569.8
2017,11.7,581.5
2018,11.95,593.45
2019,12.2,605.64
2020,12.44,618.09
2021,12.66,630.74
2022,12.87,643.61
2023,13.08,656.68
2024,13.29,669.97
2025,13.5,683.47
2026,13.71,697.18
2027,13.92,711.1
2028,14.13,725.23
2029,14.34,739.58
2030,14.55,754.13
2031,14.84,768.97
2032,15.13,784.1
2033,15.42,799.52
2034,15.71,815.22
2035,15.99,831.22
2036,16.28,847.5
2037,16.57,864.07
2038,16.86,880.92
2039,17.14,898.07
2040,17.43,915.5
2041,17.77,933.26
2042,18.1,951.37
2043,18.44,969.8
2044,18.77,988.57
2045,19.11,1007.68
